KEY,zh,zh-TW,en,ja,fr,de,it,es,pt,ko
Language,中文,繁體中文,英语,日语,法语,德语,意大利语,西班牙语,葡萄牙语,韩语
User_NoLogin,"登录","登錄","Login","ログイン","Connexion","Anmeldung","Accedi","Iniciar sesión","Login","로그인"
Library,"全部应用","我的應用","Library","マイアプリ","Bibliothèque","Bibliothek","Libreria","La aplicación","Biblioteca","라이브러리"
Net_TimeOut,"网络未连接，请联网后重试","網路未連接，請聯網後重試","No network connection, Please check  your network.","ネットワークに接続していません。通信状況をご確認の上、もう一度お試しください。","Déconnecté. Veuillez vous connecter au réseau et réessayer.","Getrennt. Bitte verbinden Sie sich mit dem Internet und versuchen Sie es erneut.","Disconnesso. Controlla la connessione di rete e riprova.","Internet no está conectado, por favor inténtelo de nuevo. ","Sem conexão à Internet. Verifique sua rede.","네트워크가 연결되지 않았습니다. 네트워크 상태를 확인하여 주십시오."
UpdateAtOnce,"立即升级","立即升級","Update now","今すぐアップデート","Mettre à jour maintenant","Jetzt aktualisieren","Aggiorna ora","Actualizar ahora","Atualizar agora","지금 업데이트"
updateRecord,"升级日志：","升級日誌：","Update Info:","アップデート履歴：","Infos de la mise à jour :","Update-Info:","Informazioni sull'aggiornamento:","Información de actualización:","Informações de Atualização:","업데이트 정보:"
newVersion,"最新版本号：","最新版本號：","Latest Version:","最新バージョン：","Dernière version :","Neueste Version:","Ultima versione:","Última versión:","Versão Mais Recente:","최신 버전:"
vesrionSize,"版本大小：","版本大小：","Package Size:","サイズ：","Taille du pack :","Paketgröße:","Dimensioni pacchetto:","Tamaño de paquete:","Tamanho do Pacote:","패키지 크기:"
pulishTime,"发布时间：","發佈時間：","Release Date:","配信日：","Date de sortie :","Versionsdatum:","Data di lancio:","Fecha de lanzamiento:","Data de Lançamento:","릴리즈 날짜:"
majorUpdate,"(重大版本更新)","(重大版本更新)","(Version info)","（重要なアップデート）","(Infos de la version)","(Versions-Info)","(informazioni sulla versione)","(Información de versión)","(Informações de lançamento)","(버전 정보)"
poorBattery,"电量不足40%无法升级，请立即给设备充电。","電量不足40%無法升級，請立即給設備充電。","Power is less than 40%, Please charge before updating.","アップデートを開始するにはバッテリー残量が40％以上である必要がございます。今すぐ充電してください。","Batterie inférieure à 40 %. Veuillez recharger pour mettre à jour.","Weniger als 40 % Akkuladung übrig. Bitte vor dem Updaten aufladen.","Meno di 40% di batteria. Per aggiornare, si prega di ricaricare.","La carga es menor al 40%. Por favor, cargue para actualizar","Carga restante inferior a 40%. Carregue antes de atualizar.","배터리가 40% 미만입니다. 업데이트를 진행하기 전에 충전하여 주십시오."
